Ad_Id,House_Type,Bedrooms,Bathrooms,Hydro,Heat,Water,Parking,Pet_Friendly,Air_Conditioning,Smoking,Laundry,Dishwasher,Fridge,Furnished,Gym,Pool,24_Hour_Security,Bicycle_Parking,Storage_Space,Elevator_in_Building,Personal_Outdoor_Space,Agreement,Region,Size,Rent
Ad ID 1480250241,House,4,2,Yes,Yes,Yes,2,Yes,Yes,Outdoors only,Laundry (In Unit)Laundry (In Building),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor University South Cameron,2000,535
Ad ID 1480253104,House,5+,2,Yes,Yes,Yes,2,Yes,Yes,No,Laundry (In Unit)Laundry (In Building),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor University South Cameron,2000,535
Ad ID 1482582882,Apartment,1,1,Yes,Yes,Yes,0,Yes,No,Outdoors only,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,1,1075
Ad ID 1483543244,Apartment,1,1,No,Yes,Yes,1,Limited,No,Outdoors only,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Balcony,1 Year,Windsor East East Walkerville,600,995
Ad ID 1488927026,House,5+,2,No,No,No,0,No,No,Outdoors only,Laundry (In Building),Not Included,Yes,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor University South Cameron,1500,1000
Ad ID 1495945675,Apartment,1,1,No,No,Yes,1,Limited,Yes,Outdoors only,Laundry (In Building),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor City Centre NW Walkerville,775,890
Ad ID 1505277333,Apartment,1,1,Yes,Yes,Yes,0,Yes,No,Yes,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Yes,Yes,Balcony,1 Year,Windsor University South Cameron,640,1324
Ad ID 1505730851,Apartment,1,1,No,Yes,Yes,0,Limited,No,Outdoors only,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor South Central West Walkerville Remington P,,1100
Ad ID 1505768546,Apartment,1,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor Sandwich Ojibway West Malden,620,1039
Ad ID 1505824864,Apartment,1,1,No,Yes,Yes,0,Yes,No,Yes,Laundry (In Building),Yes,Yes,No,Yes,Yes,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor Riverside,,1449
Ad ID 1505826022,Apartment,1,1,No,Yes,Yes,0,Limited,No,No,Laundry (In Building),Yes,Yes,No,Yes,Yes,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,,1400
Ad ID 1505835396,Apartment,1,1,No,Yes,Yes,0,No,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor Sandwich Ojibway West Malden,584,1039
Ad ID 1505835523,Apartment,1,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Not Included,1 Year,Windsor Riverside,625,1339
Ad ID 1505835533,Apartment,1,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor University South Cameron,555,1069
Ad ID 1505835539,Apartment,Bachelor/Studio,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Not Included,1 Year,Windsor Riverside,445,1109
Ad ID 1505845952,Apartment,1,1,No,Yes,Yes,0,No,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor Sandwich Ojibway West Malden,600,1019
Ad ID 1505845953,Apartment,2,1,No,Yes,Yes,0,No,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor Sandwich Ojibway West Malden,750,1139
Ad ID 1508099697,Apartment,1,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Unit)Laundry (In Building),Not Included,Yes,No,Yes,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,407,1099
Ad ID 1510634167,Apartment,2,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,872,1295
Ad ID 1513526674,House,3,2.5,No,No,No,3,No,Yes,Outdoors only,Laundry (In Unit)Laundry (In Building),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,Month-to-month,Windsor Roseland,1500,1800
Ad ID 1515122181,Apartment,1,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor Sandwich Ojibway West Malden,695,1129
Ad ID 1516242769,Apartment,2,1,No,Yes,Yes,0,Limited,No,No,Laundry (In Building),Yes,Yes,No,Yes,Yes,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,,1550
